PWM	motif_score_0.001	motif_score_0.0005	motif_score_0.0001
AHCTF1.H13CORE.0.B.B	5.78535	6.21543	6.76222
AHR.H13CORE.0.P.B	4.45976	5.57130	7.58767
AHRR.H13CORE.0.P.C	4.77995	5.68432	7.39262
ALX1.H13CORE.0.SM.B	2.14241	3.50091	6.26041
ALX3.H13CORE.0.SM.B	3.38601	4.99892	7.97745
ALX3.H13CORE.1.S.B	2.28441	3.71191	6.59131
ALX4.H13CORE.0.S.B	0.74991	2.28731	5.43931
ALX4.H13CORE.1.SM.B	3.97021	5.52821	7.80562
ANDR.H13CORE.0.P.B	3.06911	4.32801	6.88631
ANDR.H13CORE.1.S.C	5.61751	6.18101	6.94189
ANDR.H13CORE.2.P.B	4.32781	5.21791	7.06791
AP2A.H13CORE.0.PSM.A	2.64411	4.05771	6.89761
AP2B.H13CORE.0.SM.B	4.47821	5.42601	7.31821
AP2C.H13CORE.0.PSM.A	3.64461	4.90161	7.34791
AP2E.H13CORE.0.SM.B	2.23541	3.71171	6.71001
ARGFX.H13CORE.0.SM.B	1.66841	3.15531	6.61271
ARI1A.H13CORE.0.P.C	4.22864	5.27345	7.33121
ARNT.H13CORE.0.P.B	4.86528	6.01426	7.63032
ARNT.H13CORE.1.P.B	4.46791	5.51641	7.41231
ARNT2.H13CORE.0.P.B	5.11091	5.86132	7.24361
ARNT2.H13CORE.1.P.B	5.03906	6.00541	7.51972
ARNT2.H13CORE.2.S.C	1.18596	2.75920	4.30729
ARX.H13CORE.0.S.B	0.10601	1.73961	5.08611
ARX.H13CORE.1.SM.B	4.68531	5.97114	7.73494
ASCL1.H13CORE.0.PSM.A	4.25361	5.25923	7.82374
ASCL2.H13CORE.0.PSM.A	3.46001	4.51802	7.38349
ATF1.H13CORE.0.P.B	4.90768	5.65976	7.39168
ATF1.H13CORE.1.P.B	3.60071	4.63681	6.78721
ATF2.H13CORE.0.PSM.A	1.27664	2.97810	5.97588
ATF2.H13CORE.1.P.B	1.67676	3.08740	6.05273
ATF3.H13CORE.0.P.B	3.62843	4.80934	7.47072
ATF3.H13CORE.1.P.B	5.04933	5.86643	7.32223
ATF3.H13CORE.2.P.B	2.37862	3.91933	6.97342
ATF3.H13CORE.3.SM.B	0.09671	1.77941	5.16971
ATF4.H13CORE.0.P.B	0.98341	2.59492	5.72096
ATF4.H13CORE.1.S.B	4.05352	5.09481	7.20012
ATF4.H13CORE.2.SM.B	-2.07639	-0.29339	3.58011
ATF6A.H13CORE.0.SM.B	-2.47429	-0.62009	3.44411
ATF6B.H13CORE.0.SM.B	0.70801	2.34171	5.53591
ATF7.H13CORE.0.PSM.A	-0.63863	1.08104	4.81452
ATMIN.H13CORE.0.P.B	4.09231	5.03631	6.99101
ATOH1.H13CORE.0.P.B	2.83230	4.25706	7.78693
ATOH1.H13CORE.1.SM.B	0.46071	2.41081	5.27961
ATOH8.H13CORE.0.P.C	4.42711	5.40494	7.46571
